,title,publication_date,cover_image
288,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2639unse
289,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2569unse
290,Ladylike,1996,https://archive.org/services/img/ladylike27unse
291,Transgender tapestry,1996,https://archive.org/services/img/transgendertapes7719unse
292,Transgender tapestry,1996,https://archive.org/services/img/transgendertapes7819unse
293,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2619unse
294,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2649unse
295,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2629unse
296,Transgender tapestry,1996,https://archive.org/services/img/transgendertapes7619unse
297,F.M.I. Female mimics international,1996,https://archive.org/services/img/fmifemalemimicsi2559unse
298,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2731unse
299,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2719unse
300,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2721unse
301,Ladylike,1997,https://archive.org/services/img/ladylike29unse
302,Ladylike,1997,https://archive.org/services/img/ladylike31unse
303,FMI Female mimics international,1997,https://archive.org/services/img/fmifemalemimics2741unse_0
304,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2669unse
305,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2741unse
306,Transgender tapestry,1997,https://archive.org/services/img/transgendertapes8019unse
307,F.M.I. Female mimics international,1997,https://archive.org/services/img/fmifemalemimicsi2659unse
308,Ladylike,1997,https://archive.org/services/img/ladylike30unse
309,Transgender tapestry,1997,https://archive.org/services/img/transgendertapes8119unse
310,Transgender tapestry,1997,https://archive.org/services/img/transgendertapes7919unse
311,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2851unse
312,Transgender tapestry,1998,https://archive.org/services/img/transgendertapes8219unse
313,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2831unse
314,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2751unse
315,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2821unse
316,Ladylike,1998,https://archive.org/services/img/ladylike34unse
317,Transgender tapestry,1998,https://archive.org/services/img/transgendertapes8319unse
318,Ladylike,1998,https://archive.org/services/img/ladylike35unse
319,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2841unse
320,FMI Female mimics international,1998,https://archive.org/services/img/fmifemalemimicsi2811unse
321,Ladylike,1998,https://archive.org/services/img/ladylike32unse
322,Ladylike,1998,https://archive.org/services/img/ladylike33unse
323,Transgender tapestry,1999,https://archive.org/services/img/transgendertapes8719unse
324,Transgender tapestry,1999,https://archive.org/services/img/transgendertape1999unse_0
325,Ladylike,1999,https://archive.org/services/img/ladylike36unse
326,Ladylike,1999,https://archive.org/services/img/ladylike37unse
327,Transgender tapestry pen pals,1999,https://archive.org/services/img/transgendertapes1999unse
328,Ladylike,1999,https://archive.org/services/img/ladylike38unse
329,FMI Female mimics international,1999,https://archive.org/services/img/fmifemalemimicsi2911unse
330,FMI Female mimics international,1999,https://archive.org/services/img/fmifemalemimicsi2861unse
331,Ladylike,1999,https://archive.org/services/img/ladylike39unse
332,Ladylike,2000,https://archive.org/services/img/ladylike43unse
333,Transgender tapestry,2000,https://archive.org/services/img/transgendertapes9020unse
334,Transgender tapestry,2000,https://archive.org/services/img/transgendertapes8920unse
335,Ladylike,2000,https://archive.org/services/img/ladylike42unse
336,Ladylike,2000,https://archive.org/services/img/ladylike41unse
337,Ladylike,2000,https://archive.org/services/img/ladylike40unse
338,Transgender tapestry,2000,https://archive.org/services/img/transgendertapes9120unse
339,Transgender tapestry,2000,https://archive.org/services/img/transgendertapes9220unse
340,Ladylike,2000,https://archive.org/services/img/ladylike44unse
341,Ladylike,2001,https://archive.org/services/img/ladylike46unse
342,Ladylike,2001,https://archive.org/services/img/ladylike47unse
343,Transgender tapestry,2001,https://archive.org/services/img/transgendertapes9620unse
344,Transgender tapestry,2001,https://archive.org/services/img/transgendertapes9320unse
345,Transgender tapestry,2001,https://archive.org/services/img/transgendertapes9420unse
346,Transgender tapestry,2001,https://archive.org/services/img/transgendertapes9520unse
347,Ladylike,2001,https://archive.org/services/img/ladylike45unse
348,Transgender tapestry,2002,https://archive.org/services/img/transgendertapes1002unse
349,Transgender tapestry,2002,https://archive.org/services/img/transgendertapes9820unse
350,Transgender tapestry,2002,https://archive.org/services/img/transgendertapes9920unse
351,Ladylike,2002,https://archive.org/services/img/ladylike49unse
352,Ladylike,2002,https://archive.org/services/img/ladylike48unse
353,Ladylike,2002,https://archive.org/services/img/ladylike50unse
354,Ladylike,2002,https://archive.org/services/img/ladylike51unse
355,Ladylike,2003,https://archive.org/services/img/ladylike54unse
356,Transgender tapestry,2003,https://archive.org/services/img/transgendertapes1032unse
357,Transgender tapestry,2003,https://archive.org/services/img/transgendertapes1012unse
358,Ladylike,2003,https://archive.org/services/img/ladylike55unse
359,Ladylike,2003,https://archive.org/services/img/ladylike53unse
360,Ladylike,2003,https://archive.org/services/img/ladylike52unse
361,Transgender tapestry,2003,https://archive.org/services/img/transgendertapes1022unse
362,Transgender tapestry,2004,https://archive.org/services/img/transgendertapes1072unse
363,Ladylike,2004,https://archive.org/services/img/ladylike58unse
364,Ladylike,2004,https://archive.org/services/img/ladylike56unse
365,Ladylike,2004,https://archive.org/services/img/ladylike57unse
366,Transgender Tapestry,2004,https://archive.org/services/img/TransgenderTapestryIssue104Winter2004
367,Ladylike,2004,https://archive.org/services/img/ladylike59unse
368,Transgender tapestry,2004,https://archive.org/services/img/transgendertapes1062unse
